filename,partition,task,semantic_label,numeric_label
05125.png,train,target,hofburg_imperial_palace,1
10818.png,train,target,pantheon,0
08345.png,challenge,target,,
05565.png,val,target,hofburg_imperial_palace,1
06795.png,val,target,hofburg_imperial_palace,1
03125.png,train,target,hofburg_imperial_palace,1
02575.png,challenge,target,,
02645.png,train,target,hofburg_imperial_palace,1
07005.png,challenge,target,,
00395.png,test,target,hofburg_imperial_palace,1
01344.png,challenge,target,,
05215.png,val,target,hofburg_imperial_palace,1
07705.png,val,target,hofburg_imperial_palace,1
01275.png,train,target,hofburg_imperial_palace,1
02054.png,val,target,pantheon,0
02264.png,challenge,target,,
08515.png,train,target,hofburg_imperial_palace,1
03644.png,train,target,pantheon,0
11925.png,test,target,pantheon,0
04625.png,train,target,hofburg_imperial_palace,1
02314.png,challenge,target,,
04545.png,test,target,hofburg_imperial_palace,1
05685.png,train,target,hofburg_imperial_palace,1
01295.png,train,target,hofburg_imperial_palace,1
02794.png,train,target,pantheon,0
01574.png,train,target,pantheon,0
05715.png,challenge,target,,
00495.png,train,target,hofburg_imperial_palace,1
02044.png,challenge,target,,
06714.png,train,target,pantheon,0
05395.png,challenge,target,,
04804.png,train,target,pantheon,0
02905.png,train,target,hofburg_imperial_palace,1
09925.png,train,target,hofburg_imperial_palace,1
06824.png,train,target,pantheon,0
09695.png,val,target,hofburg_imperial_palace,1
08655.png,train,target,hofburg_imperial_palace,1
05224.png,train,target,pantheon,0
02875.png,train,target,hofburg_imperial_palace,1
06425.png,train,target,hofburg_imperial_palace,1
03774.png,train,target,pantheon,0
06255.png,train,target,hofburg_imperial_palace,1
01474.png,challenge,target,,
01254.png,train,target,pantheon,0
10602.png,test,target,pantheon,0
01105.png,train,target,hofburg_imperial_palace,1
09245.png,test,target,hofburg_imperial_palace,1
02684.png,val,target,pantheon,0
08135.png,val,target,hofburg_imperial_palace,1
01104.png,challenge,target,,
07435.png,challenge,target,,
01975.png,val,target,hofburg_imperial_palace,1
05195.png,train,target,hofburg_imperial_palace,1
06285.png,val,target,hofburg_imperial_palace,1
00965.png,challenge,target,,
01814.png,train,target,pantheon,0
02785.png,challenge,target,,
05235.png,challenge,target,,
07315.png,test,target,hofburg_imperial_palace,1
01025.png,val,target,hofburg_imperial_palace,1
02775.png,train,target,hofburg_imperial_palace,1
05554.png,challenge,target,,
07345.png,challenge,target,,
01185.png,challenge,target,,
06945.png,challenge,target,,
00944.png,val,target,pantheon,0
11210.png,train,target,pantheon,0
09185.png,challenge,target,,
01265.png,val,target,hofburg_imperial_palace,1
04435.png,train,target,hofburg_imperial_palace,1
03035.png,train,target,hofburg_imperial_palace,1
03235.png,challenge,target,,
01804.png,train,target,pantheon,0
10017.png,val,target,pantheon,0
07385.png,challenge,target,,
00135.png,train,target,hofburg_imperial_palace,1
10216.png,train,target,pantheon,0
06374.png,train,target,pantheon,0
05515.png,val,target,hofburg_imperial_palace,1
01954.png,train,target,pantheon,0
01854.png,test,target,pantheon,0
06665.png,train,target,hofburg_imperial_palace,1
00074.png,challenge,target,,
03835.png,test,target,hofburg_imperial_palace,1
05085.png,val,target,hofburg_imperial_palace,1
07945.png,challenge,target,,
06435.png,challenge,target,,
05675.png,challenge,target,,
05004.png,val,target,pantheon,0
01875.png,train,target,hofburg_imperial_palace,1
09515.png,challenge,target,,
09675.png,test,target,hofburg_imperial_palace,1
08754.png,train,target,pantheon,0
09734.png,val,target,pantheon,0
01565.png,train,target,hofburg_imperial_palace,1
12024.png,test,target,pantheon,0
08785.png,train,target,hofburg_imperial_palace,1
07424.png,val,target,pantheon,0
06254.png,train,target,pantheon,0
00865.png,train,target,hofburg_imperial_palace,1
05074.png,train,target,pantheon,0
08165.png,train,target,hofburg_imperial_palace,1
00545.png,test,target,hofburg_imperial_palace,1
02065.png,challenge,target,,
02935.png,challenge,target,,
06115.png,val,target,hofburg_imperial_palace,1
11020.png,challenge,target,,
06215.png,train,target,hofburg_imperial_palace,1
07545.png,challenge,target,,
07154.png,val,target,pantheon,0
01674.png,train,target,pantheon,0
02405.png,challenge,target,,
08905.png,train,target,hofburg_imperial_palace,1
10795.png,challenge,target,,
08795.png,challenge,target,,
11548.png,train,target,pantheon,0
06965.png,challenge,target,,
11282.png,test,target,pantheon,0
04165.png,test,target,hofburg_imperial_palace,1
00625.png,challenge,target,,
01515.png,train,target,hofburg_imperial_palace,1
03735.png,challenge,target,,
10451.png,challenge,target,,
03495.png,val,target,hofburg_imperial_palace,1
09045.png,val,target,hofburg_imperial_palace,1
12284.png,train,target,pantheon,0
11196.png,val,target,pantheon,0
09895.png,test,target,hofburg_imperial_palace,1
03185.png,challenge,target,,
01145.png,challenge,target,,
08504.png,train,target,pantheon,0
09334.png,val,target,pantheon,0
01064.png,train,target,pantheon,0
02835.png,train,target,hofburg_imperial_palace,1
03264.png,val,target,pantheon,0
07024.png,train,target,pantheon,0
06724.png,val,target,pantheon,0
05935.png,train,target,hofburg_imperial_palace,1
10854.png,challenge,target,,
01614.png,val,target,pantheon,0
04515.png,train,target,hofburg_imperial_palace,1
09385.png,train,target,hofburg_imperial_palace,1
03135.png,train,target,hofburg_imperial_palace,1
05925.png,train,target,hofburg_imperial_palace,1
07425.png,train,target,hofburg_imperial_palace,1
00655.png,test,target,hofburg_imperial_palace,1
06305.png,challenge,target,,
04885.png,train,target,hofburg_imperial_palace,1
09805.png,train,target,hofburg_imperial_palace,1
00445.png,challenge,target,,
04225.png,val,target,hofburg_imperial_palace,1
02764.png,train,target,pantheon,0
02995.png,train,target,hofburg_imperial_palace,1
08405.png,train,target,hofburg_imperial_palace,1
01444.png,test,target,pantheon,0
03515.png,train,target,hofburg_imperial_palace,1
12241.png,train,target,pantheon,0
04825.png,test,target,hofburg_imperial_palace,1
12191.png,test,target,pantheon,0
05035.png,train,target,hofburg_imperial_palace,1
02944.png,val,target,pantheon,0
10028.png,val,target,pantheon,0
09705.png,train,target,hofburg_imperial_palace,1
02994.png,challenge,target,,
04935.png,val,target,hofburg_imperial_palace,1
11248.png,train,target,pantheon,0
10889.png,train,target,pantheon,0
00945.png,val,target,hofburg_imperial_palace,1
04635.png,train,target,hofburg_imperial_palace,1
01505.png,challenge,target,,
07145.png,test,target,hofburg_imperial_palace,1
01494.png,train,target,pantheon,0
01435.png,train,target,hofburg_imperial_palace,1
10588.png,train,target,pantheon,0
01035.png,challenge,target,,
05835.png,challenge,target,,
06325.png,train,target,hofburg_imperial_palace,1
08824.png,train,target,pantheon,0
04544.png,train,target,pantheon,0
06515.png,train,target,hofburg_imperial_palace,1
05014.png,train,target,pantheon,0
01905.png,train,target,hofburg_imperial_palace,1
05934.png,val,target,pantheon,0
05654.png,train,target,pantheon,0
11252.png,challenge,target,,
01584.png,val,target,pantheon,0
06675.png,train,target,hofburg_imperial_palace,1
00164.png,train,target,pantheon,0
03394.png,test,target,pantheon,0
03155.png,train,target,hofburg_imperial_palace,1
00224.png,train,target,pantheon,0
12141.png,challenge,target,,
01525.png,test,target,hofburg_imperial_palace,1
01925.png,train,target,hofburg_imperial_palace,1
09825.png,challenge,target,,
12032.png,val,target,pantheon,0
03995.png,test,target,hofburg_imperial_palace,1
01044.png,challenge,target,,
01774.png,train,target,pantheon,0
02894.png,test,target,pantheon,0
02184.png,train,target,pantheon,0
07924.png,train,target,pantheon,0
08095.png,challenge,target,,
04154.png,val,target,pantheon,0
04634.png,train,target,pantheon,0
02755.png,test,target,hofburg_imperial_palace,1
01065.png,train,target,hofburg_imperial_palace,1
08215.png,train,target,hofburg_imperial_palace,1
04914.png,train,target,pantheon,0
00044.png,train,target,pantheon,0
09155.png,train,target,hofburg_imperial_palace,1
07355.png,train,target,hofburg_imperial_palace,1
01034.png,val,target,pantheon,0
10804.png,test,target,pantheon,0
09845.png,val,target,hofburg_imperial_palace,1
08274.png,challenge,target,,
10200.png,challenge,target,,
00755.png,train,target,hofburg_imperial_palace,1
02765.png,challenge,target,,
03114.png,challenge,target,,
03984.png,challenge,target,,
07475.png,challenge,target,,
11748.png,challenge,target,,
02735.png,train,target,hofburg_imperial_palace,1
03275.png,challenge,target,,
00784.png,train,target,pantheon,0
04504.png,train,target,pantheon,0
02425.png,challenge,target,,
08434.png,val,target,pantheon,0
06485.png,test,target,hofburg_imperial_palace,1
05924.png,challenge,target,,
00184.png,challenge,target,,
10558.png,test,target,pantheon,0
03324.png,val,target,pantheon,0
11847.png,train,target,pantheon,0
09214.png,train,target,pantheon,0
00704.png,train,target,pantheon,0
04205.png,train,target,hofburg_imperial_palace,1
03895.png,challenge,target,,
07304.png,challenge,target,,
08695.png,challenge,target,,
08615.png,train,target,hofburg_imperial_palace,1
03665.png,train,target,hofburg_imperial_palace,1
10673.png,train,target,pantheon,0
00775.png,train,target,hofburg_imperial_palace,1
03635.png,val,target,hofburg_imperial_palace,1
08594.png,test,target,pantheon,0
00155.png,train,target,hofburg_imperial_palace,1
04024.png,train,target,pantheon,0
03985.png,test,target,hofburg_imperial_palace,1
12390.png,train,target,pantheon,0
09445.png,train,target,hofburg_imperial_palace,1
05155.png,val,target,hofburg_imperial_palace,1
02214.png,challenge,target,,
02854.png,challenge,target,,
05194.png,val,target,pantheon,0
02585.png,train,target,hofburg_imperial_palace,1
06055.png,train,target,hofburg_imperial_palace,1
04564.png,train,target,pantheon,0
01795.png,test,target,hofburg_imperial_palace,1
10545.png,challenge,target,,
02504.png,train,target,pantheon,0
00285.png,challenge,target,,
06074.png,train,target,pantheon,0
05265.png,test,target,hofburg_imperial_palace,1
00345.png,train,target,hofburg_imperial_palace,1
05335.png,challenge,target,,
01865.png,val,target,hofburg_imperial_palace,1
06054.png,challenge,target,,
03864.png,val,target,pantheon,0
03494.png,test,target,pantheon,0
04604.png,val,target,pantheon,0
09654.png,train,target,pantheon,0
06295.png,test,target,hofburg_imperial_palace,1
02844.png,train,target,pantheon,0
01365.png,challenge,target,,
04785.png,challenge,target,,
03455.png,train,target,hofburg_imperial_palace,1
05504.png,train,target,pantheon,0
05174.png,train,target,pantheon,0
03734.png,val,target,pantheon,0
11116.png,challenge,target,,
08525.png,challenge,target,,
06355.png,train,target,hofburg_imperial_palace,1
01984.png,train,target,pantheon,0
08455.png,challenge,target,,
04314.png,challenge,target,,
10730.png,val,target,pantheon,0
03445.png,challenge,target,,
07755.png,challenge,target,,
00735.png,train,target,hofburg_imperial_palace,1
04675.png,train,target,hofburg_imperial_palace,1
10459.png,test,target,pantheon,0
11478.png,test,target,pantheon,0
07855.png,train,target,hofburg_imperial_palace,1
08245.png,train,target,hofburg_imperial_palace,1
06944.png,train,target,pantheon,0
12262.png,train,target,pantheon,0
08334.png,test,target,pantheon,0
10503.png,test,target,pantheon,0
02074.png,train,target,pantheon,0
06874.png,challenge,target,,
07524.png,test,target,pantheon,0
05785.png,challenge,target,,
04125.png,test,target,hofburg_imperial_palace,1
03604.png,train,target,pantheon,0
10078.png,test,target,pantheon,0
11321.png,challenge,target,,
10439.png,train,target,pantheon,0
03465.png,challenge,target,,
02395.png,train,target,hofburg_imperial_palace,1
05834.png,challenge,target,,
05405.png,train,target,hofburg_imperial_palace,1
11584.png,val,target,pantheon,0
07974.png,challenge,target,,
05555.png,test,target,hofburg_imperial_palace,1
08774.png,challenge,target,,
04195.png,val,target,hofburg_imperial_palace,1
03765.png,train,target,hofburg_imperial_palace,1
05964.png,val,target,pantheon,0
12235.png,train,target,pantheon,0
08134.png,challenge,target,,
11565.png,challenge,target,,
04774.png,challenge,target,,
04115.png,test,target,hofburg_imperial_palace,1
04525.png,val,target,hofburg_imperial_palace,1
01825.png,train,target,hofburg_imperial_palace,1
07634.png,challenge,target,,
11511.png,train,target,pantheon,0
09525.png,val,target,hofburg_imperial_palace,1
06815.png,challenge,target,,
12067.png,train,target,pantheon,0
10043.png,train,target,pantheon,0
08575.png,challenge,target,,
01215.png,train,target,hofburg_imperial_palace,1
06695.png,train,target,hofburg_imperial_palace,1
10370.png,test,target,pantheon,0
05864.png,challenge,target,,
08104.png,challenge,target,,
00435.png,test,target,hofburg_imperial_palace,1
05984.png,train,target,pantheon,0
07844.png,challenge,target,,
06804.png,train,target,pantheon,0
04064.png,challenge,target,,
04284.png,train,target,pantheon,0
00905.png,challenge,target,,
08815.png,challenge,target,,
06225.png,challenge,target,,
09015.png,train,target,hofburg_imperial_palace,1
09475.png,test,target,hofburg_imperial_palace,1
11203.png,test,target,pantheon,0
09855.png,test,target,hofburg_imperial_palace,1
06005.png,challenge,target,,
01425.png,train,target,hofburg_imperial_palace,1
05015.png,test,target,hofburg_imperial_palace,1
08164.png,train,target,pantheon,0
05995.png,challenge,target,,
12078.png,train,target,pantheon,0
03175.png,train,target,hofburg_imperial_palace,1
01775.png,train,target,hofburg_imperial_palace,1
05255.png,test,target,hofburg_imperial_palace,1
08144.png,challenge,target,,
05475.png,train,target,hofburg_imperial_palace,1
05525.png,train,target,hofburg_imperial_palace,1
07444.png,train,target,pantheon,0
06345.png,train,target,hofburg_imperial_palace,1
01415.png,challenge,target,,
10811.png,challenge,target,,
03364.png,val,target,pantheon,0
04285.png,train,target,hofburg_imperial_palace,1
06875.png,val,target,hofburg_imperial_palace,1
02744.png,train,target,pantheon,0
09794.png,test,target,pantheon,0
01604.png,train,target,pantheon,0
06624.png,val,target,pantheon,0
07185.png,val,target,hofburg_imperial_palace,1
11085.png,test,target,pantheon,0
01325.png,train,target,hofburg_imperial_palace,1
11180.png,train,target,pantheon,0
04105.png,challenge,target,,
02535.png,train,target,hofburg_imperial_palace,1
02715.png,train,target,hofburg_imperial_palace,1
11386.png,challenge,target,,
03365.png,val,target,hofburg_imperial_palace,1
09574.png,train,target,pantheon,0
01464.png,challenge,target,,
04104.png,train,target,pantheon,0
01645.png,challenge,target,,
02324.png,train,target,pantheon,0
10331.png,val,target,pantheon,0
07205.png,challenge,target,,
11046.png,train,target,pantheon,0
04955.png,val,target,hofburg_imperial_palace,1
08395.png,challenge,target,,
00794.png,challenge,target,,
09775.png,train,target,hofburg_imperial_palace,1
07104.png,train,target,pantheon,0
05454.png,challenge,target,,
04794.png,train,target,pantheon,0
09055.png,train,target,hofburg_imperial_palace,1
04095.png,train,target,hofburg_imperial_palace,1
05794.png,train,target,pantheon,0
11043.png,val,target,pantheon,0
08224.png,train,target,pantheon,0
00265.png,challenge,target,,
09154.png,test,target,pantheon,0
00884.png,challenge,target,,
11363.png,challenge,target,,
07095.png,train,target,hofburg_imperial_palace,1
11626.png,val,target,pantheon,0
06575.png,train,target,hofburg_imperial_palace,1
03535.png,train,target,hofburg_imperial_palace,1
03845.png,train,target,hofburg_imperial_palace,1
03054.png,val,target,pantheon,0
04664.png,train,target,pantheon,0
00035.png,challenge,target,,
04365.png,challenge,target,,
03955.png,train,target,hofburg_imperial_palace,1
08925.png,challenge,target,,
10243.png,challenge,target,,
05674.png,train,target,pantheon,0
05725.png,train,target,hofburg_imperial_palace,1
00475.png,challenge,target,,
07484.png,train,target,pantheon,0
09785.png,train,target,hofburg_imperial_palace,1
04505.png,train,target,hofburg_imperial_palace,1
11359.png,train,target,pantheon,0
05204.png,train,target,pantheon,0
07565.png,challenge,target,,
11574.png,val,target,pantheon,0
01794.png,challenge,target,,
05875.png,challenge,target,,
09215.png,train,target,hofburg_imperial_palace,1
02295.png,train,target,hofburg_imperial_palace,1
06775.png,val,target,hofburg_imperial_palace,1
02435.png,challenge,target,,
06495.png,challenge,target,,
09894.png,train,target,pantheon,0
08064.png,test,target,pantheon,0
10085.png,train,target,pantheon,0
11291.png,challenge,target,,
04844.png,train,target,pantheon,0
05385.png,challenge,target,,
01654.png,train,target,pantheon,0
03615.png,val,target,hofburg_imperial_palace,1
05294.png,challenge,target,,
08584.png,train,target,pantheon,0
02644.png,challenge,target,,
04534.png,train,target,pantheon,0
03554.png,challenge,target,,
02365.png,train,target,hofburg_imperial_palace,1
05975.png,challenge,target,,
09814.png,test,target,pantheon,0
02095.png,challenge,target,,
06065.png,test,target,hofburg_imperial_palace,1
07644.png,train,target,pantheon,0
07595.png,train,target,hofburg_imperial_palace,1
07094.png,test,target,pantheon,0
08625.png,val,target,hofburg_imperial_palace,1
11558.png,val,target,pantheon,0
01114.png,train,target,pantheon,0
01955.png,train,target,hofburg_imperial_palace,1
03934.png,train,target,pantheon,0
01615.png,challenge,target,,
06354.png,test,target,pantheon,0
00914.png,train,target,pantheon,0
06084.png,train,target,pantheon,0
11649.png,challenge,target,,
05054.png,train,target,pantheon,0
05955.png,val,target,hofburg_imperial_palace,1
09965.png,train,target,hofburg_imperial_palace,1
03524.png,train,target,pantheon,0
11662.png,val,target,pantheon,0
03084.png,challenge,target,,
02564.png,test,target,pantheon,0
05474.png,val,target,pantheon,0
10942.png,train,target,pantheon,0
04985.png,train,target,hofburg_imperial_palace,1
03974.png,train,target,pantheon,0
11054.png,challenge,target,,
10161.png,val,target,pantheon,0
08915.png,train,target,hofburg_imperial_palace,1
04775.png,train,target,hofburg_imperial_palace,1
03534.png,train,target,pantheon,0
04704.png,train,target,pantheon,0
05214.png,train,target,pantheon,0
09325.png,train,target,hofburg_imperial_palace,1
00844.png,train,target,pantheon,0
00455.png,challenge,target,,
10922.png,val,target,pantheon,0
02565.png,challenge,target,,
03685.png,train,target,hofburg_imperial_palace,1
05324.png,test,target,pantheon,0
05874.png,train,target,pantheon,0
07725.png,val,target,hofburg_imperial_palace,1
12286.png,train,target,pantheon,0
00744.png,train,target,pantheon,0
05894.png,train,target,pantheon,0
02125.png,train,target,hofburg_imperial_palace,1
03055.png,train,target,hofburg_imperial_palace,1
03914.png,train,target,pantheon,0
11946.png,challenge,target,,
07895.png,train,target,hofburg_imperial_palace,1
06104.png,test,target,pantheon,0
06094.png,train,target,pantheon,0
00975.png,train,target,hofburg_imperial_palace,1
07935.png,train,target,hofburg_imperial_palace,1
10385.png,val,target,pantheon,0
07494.png,train,target,pantheon,0
05494.png,train,target,pantheon,0
08514.png,train,target,pantheon,0
06554.png,train,target,pantheon,0
09495.png,train,target,hofburg_imperial_palace,1
06894.png,val,target,pantheon,0
04755.png,train,target,hofburg_imperial_palace,1
04455.png,train,target,hofburg_imperial_palace,1
01134.png,train,target,pantheon,0
07485.png,test,target,hofburg_imperial_palace,1
07884.png,challenge,target,,
06715.png,train,target,hofburg_imperial_palace,1
11105.png,train,target,pantheon,0
10144.png,challenge,target,,
02204.png,challenge,target,,
09005.png,challenge,target,,
10840.png,train,target,pantheon,0
08335.png,train,target,hofburg_imperial_palace,1
01664.png,challenge,target,,
06615.png,val,target,hofburg_imperial_palace,1
03425.png,val,target,hofburg_imperial_palace,1
00925.png,challenge,target,,
01084.png,test,target,pantheon,0
10278.png,train,target,pantheon,0
11017.png,train,target,pantheon,0
07785.png,val,target,hofburg_imperial_palace,1
01294.png,test,target,pantheon,0
10390.png,train,target,pantheon,0
02665.png,val,target,hofburg_imperial_palace,1
01305.png,challenge,target,,
02985.png,test,target,hofburg_imperial_palace,1
10729.png,train,target,pantheon,0
06805.png,test,target,hofburg_imperial_palace,1
12007.png,challenge,target,,
02454.png,test,target,pantheon,0
03694.png,test,target,pantheon,0
06995.png,challenge,target,,
04245.png,challenge,target,,
03405.png,val,target,hofburg_imperial_palace,1
09435.png,challenge,target,,
01074.png,train,target,pantheon,0
03805.png,train,target,hofburg_imperial_palace,1
01245.png,val,target,hofburg_imperial_palace,1
09554.png,train,target,pantheon,0
04685.png,train,target,hofburg_imperial_palace,1
02304.png,train,target,pantheon,0
03605.png,challenge,target,,
08865.png,train,target,hofburg_imperial_palace,1
05684.png,challenge,target,,
10381.png,train,target,pantheon,0
00985.png,test,target,hofburg_imperial_palace,1
09545.png,train,target,hofburg_imperial_palace,1
11578.png,train,target,pantheon,0
11133.png,train,target,pantheon,0
12063.png,val,target,pantheon,0
09685.png,challenge,target,,
10678.png,challenge,target,,
00734.png,challenge,target,,
04234.png,val,target,pantheon,0
08895.png,train,target,hofburg_imperial_palace,1
05985.png,train,target,hofburg_imperial_palace,1
08065.png,train,target,hofburg_imperial_palace,1
02105.png,train,target,hofburg_imperial_palace,1
05285.png,challenge,target,,
03565.png,train,target,hofburg_imperial_palace,1
02094.png,challenge,target,,
00694.png,challenge,target,,
06934.png,train,target,pantheon,0
05764.png,train,target,pantheon,0
02225.png,val,target,hofburg_imperial_palace,1
07114.png,train,target,pantheon,0
00235.png,challenge,target,,
07215.png,challenge,target,,
08244.png,challenge,target,,
00765.png,val,target,hofburg_imperial_palace,1
00825.png,train,target,hofburg_imperial_palace,1
00815.png,challenge,target,,
09425.png,train,target,hofburg_imperial_palace,1
03555.png,train,target,hofburg_imperial_palace,1
05905.png,test,target,hofburg_imperial_palace,1
04895.png,val,target,hofburg_imperial_palace,1
03414.png,challenge,target,,
02315.png,train,target,hofburg_imperial_palace,1
01675.png,train,target,hofburg_imperial_palace,1
09275.png,train,target,hofburg_imperial_palace,1
00024.png,challenge,target,,
01455.png,test,target,hofburg_imperial_palace,1
10718.png,val,target,pantheon,0
11338.png,challenge,target,,
06444.png,train,target,pantheon,0
06294.png,test,target,pantheon,0
08385.png,challenge,target,,
12129.png,challenge,target,,
07665.png,train,target,hofburg_imperial_palace,1
06004.png,train,target,pantheon,0
05854.png,train,target,pantheon,0
12095.png,train,target,pantheon,0
02774.png,challenge,target,,
01055.png,train,target,hofburg_imperial_palace,1
09534.png,challenge,target,,
03925.png,challenge,target,,
01564.png,train,target,pantheon,0
03545.png,train,target,hofburg_imperial_palace,1
00804.png,test,target,pantheon,0
04694.png,challenge,target,,
00344.png,val,target,pantheon,0
08025.png,train,target,hofburg_imperial_palace,1
06505.png,train,target,hofburg_imperial_palace,1
09115.png,train,target,hofburg_imperial_palace,1
11523.png,test,target,pantheon,0
00745.png,challenge,target,,
01485.png,val,target,hofburg_imperial_palace,1
03675.png,challenge,target,,
09075.png,challenge,target,,
06214.png,challenge,target,,
09815.png,challenge,target,,
03724.png,train,target,pantheon,0
06555.png,train,target,hofburg_imperial_palace,1
02705.png,val,target,hofburg_imperial_palace,1
11676.png,challenge,target,,
02385.png,train,target,hofburg_imperial_palace,1
08715.png,train,target,hofburg_imperial_palace,1
00835.png,val,target,hofburg_imperial_palace,1
11940.png,challenge,target,,
07745.png,train,target,hofburg_imperial_palace,1
01004.png,challenge,target,,
09774.png,val,target,pantheon,0
02165.png,train,target,hofburg_imperial_palace,1
11988.png,challenge,target,,
04055.png,train,target,hofburg_imperial_palace,1
08114.png,test,target,pantheon,0
04974.png,train,target,pantheon,0
05464.png,train,target,pantheon,0
11690.png,val,target,pantheon,0
00954.png,challenge,target,,
05514.png,train,target,pantheon,0
03025.png,train,target,hofburg_imperial_palace,1
00514.png,challenge,target,,
00664.png,test,target,pantheon,0
09844.png,challenge,target,,
06565.png,challenge,target,,
09105.png,test,target,hofburg_imperial_palace,1
05744.png,train,target,pantheon,0
12043.png,challenge,target,,
02855.png,train,target,hofburg_imperial_palace,1
12266.png,test,target,pantheon,0
02485.png,challenge,target,,
09374.png,challenge,target,,
09114.png,challenge,target,,
07155.png,test,target,hofburg_imperial_palace,1
08325.png,train,target,hofburg_imperial_palace,1
02604.png,train,target,pantheon,0
01314.png,train,target,pantheon,0
03625.png,train,target,hofburg_imperial_palace,1
05885.png,val,target,hofburg_imperial_palace,1
04354.png,train,target,pantheon,0
11137.png,test,target,pantheon,0
08994.png,val,target,pantheon,0
03124.png,train,target,pantheon,0
06984.png,challenge,target,,
07335.png,test,target,hofburg_imperial_palace,1
03484.png,train,target,pantheon,0
01754.png,challenge,target,,
01445.png,test,target,hofburg_imperial_palace,1
11171.png,val,target,pantheon,0
05614.png,challenge,target,,
06475.png,challenge,target,,
03894.png,train,target,pantheon,0
00384.png,train,target,pantheon,0
12457.png,train,target,pantheon,0
03935.png,val,target,hofburg_imperial_palace,1
04135.png,challenge,target,,
02495.png,train,target,hofburg_imperial_palace,1
02135.png,val,target,hofburg_imperial_palace,1
01235.png,train,target,hofburg_imperial_palace,1
03944.png,train,target,pantheon,0
04915.png,val,target,hofburg_imperial_palace,1
10170.png,challenge,target,,
12051.png,train,target,pantheon,0
04834.png,train,target,pantheon,0
11821.png,train,target,pantheon,0
05365.png,test,target,hofburg_imperial_palace,1
09765.png,train,target,hofburg_imperial_palace,1
06654.png,train,target,pantheon,0
00174.png,train,target,pantheon,0
09834.png,test,target,pantheon,0
02024.png,test,target,pantheon,0
08355.png,challenge,target,,
01164.png,train,target,pantheon,0
12426.png,train,target,pantheon,0
11595.png,val,target,pantheon,0
03274.png,challenge,target,,
